id,gid,x,y,v_x,v_y,radius,time
22,1,7.134140,1.757492,0.050434,-0.642225,0.200000,0.600000
23,1,8.964078,-3.631117,-0.310295,-1.348375,0.200000,0.600000
24,1,5.353239,4.769629,-0.043059,-1.190667,0.200000,0.600000
25,1,8.296593,-2.690132,-0.281873,-1.240354,0.200000,0.600000
26,1,6.833651,6.019290,0.102438,-1.122797,0.200000,0.600000
27,1,5.097121,0.734243,-1.206263,-0.555992,0.200000,0.600000
28,1,4.886862,2.531261,0.345689,-1.119409,0.200000,0.600000
29,1,4.756556,0.253455,-0.084439,-0.795190,0.200000,0.600000
30,1,7.622742,2.735483,-0.125015,-1.228814,0.200000,0.600000
31,1,7.205587,-4.917745,-0.134098,-1.232347,0.200000,0.600000
32,1,5.756792,1.710636,0.264765,-0.938381,0.200000,0.600000
33,1,7.978799,4.729047,-0.053034,-1.203455,0.200000,0.600000
34,1,4.965783,6.063900,0.128953,-1.323972,0.200000,0.600000
35,1,9.076831,3.126659,-0.232953,-1.190791,0.200000,0.600000
36,1,6.213050,3.593631,-0.016337,-1.059694,0.200000,0.600000
37,1,8.453547,3.123162,-0.341964,-1.121616,0.200000,0.600000
38,1,9.077197,4.207297,-0.157433,-1.221484,0.200000,0.600000
39,1,6.794195,8.452100,0.016738,-1.117292,0.200000,0.600000
0,0,9.458741,0.216534,-1.215961,-0.116665,0.200000,0.700000
1,0,11.774536,0.543295,-1.310088,-0.056127,0.200000,0.700000
2,0,6.793422,-0.203676,-1.086961,-0.309642,0.200000,0.700000
3,0,6.094703,-0.829703,-1.093308,-0.152556,0.200000,0.700000
4,0,8.061558,0.665263,-1.274299,-0.069571,0.200000,0.700000
5,0,5.056421,-0.113796,-0.463766,-1.232008,0.200000,0.700000
6,0,13.083626,-1.087509,-1.275494,-0.269484,0.200000,0.700000
7,0,10.230211,-0.188772,-1.160334,-0.102054,0.200000,0.700000
8,0,12.636183,-0.545040,-1.103820,-0.008525,0.200000,0.700000
9,0,7.567969,-0.132760,-1.155195,0.054266,0.200000,0.700000
10,0,6.343310,0.227127,-1.171910,0.000423,0.200000,0.700000
11,0,14.140059,-0.592878,-1.156233,0.282579,0.200000,0.700000
12,0,12.766094,0.551015,-1.198105,0.050214,0.200000,0.700000
13,0,8.090721,0.223579,-0.908555,0.142523,0.200000,0.700000
14,0,6.027214,-0.376057,-1.398904,0.018106,0.200000,0.700000
15,0,12.900669,1.016149,-1.254037,-0.070192,0.200000,0.700000
16,0,5.603762,0.139636,-1.342202,0.379634,0.200000,0.700000
17,0,5.980843,0.843427,-1.260184,-0.029951,0.200000,0.700000
